TIME_MS,MODE,TARGET,YAW,OUTPUT,KP,KI,KD
4120,1,30.0,294.0735990743202,1000.0,8.0,0.1,1.5
4130,1,30.0,-294.16671958551285,2000.0,8.0,0.1,1.5
4140,1,30.0,294.06793349260704,1000.0,8.0,0.1,1.5
4150,1,30.0,-294.1635608997566,2000.0,8.0,0.1,1.5
4160,1,30.0,294.0796342898415,1000.0,8.0,0.1,1.5
4170,1,30.0,-294.144363188413,2000.0,8.0,0.1,1.5
4180,1,30.0,294.10461404091546,1000.0,8.0,0.1,1.5
4190,1,30.0,-294.1158327643761,2000.0,8.0,0.1,1.5
4200,1,30.0,294.1341466001069,1000.0,8.0,0.1,1.5
4210,1,30.0,-294.08793612558736,2000.0,8.0,0.1,1.5
4220,1,30.0,294.15791539483314,1000.0,8.0,0.1,1.5
4230,1,30.0,-294.07041837056704,2000.0,8.0,0.1,1.5
4240,1,30.0,294.1676173012638,1000.0,8.0,0.1,1.5
4250,1,30.0,-294.0693989551328,2000.0,8.0,0.1,1.5
4260,1,30.0,294.1598631643571,1000.0,8.0,0.1,1.5
4270,1,30.0,-294.0852339904244,2000.0,8.0,0.1,1.5
4280,1,30.0,294.13736172722236,1000.0,8.0,0.1,1.5
4290,1,30.0,-294.11239184303787,2000.0,8.0,0.1,1.5
4300,1,30.0,294.1079733892213,1000.0,8.0,0.1,1.5
4310,1,30.0,-294.1413854937188,2000.0,8.0,0.1,1.5
4320,1,30.0,294.08196434232536,1000.0,8.0,0.1,1.5
4330,1,30.0,-294.16208662613195,2000.0,8.0,0.1,1.5
4340,1,30.0,294.0684202949003,1000.0,8.0,0.1,1.5
4350,1,30.0,-294.16726373915,2000.0,8.0,0.1,1.5
4360,1,30.0,294.07207257237644,1000.0,8.0,0.1,1.5
4370,1,30.0,-294.15510831824923,2000.0,8.0,0.1,1.5
4380,1,30.0,294.09164532915463,1000.0,8.0,0.1,1.5
4390,1,30.0,-294.12986660166405,2000.0,8.0,0.1,1.5
4400,1,30.0,294.1203012381805,1000.0,8.0,0.1,1.5
4410,1,30.0,-294.10035624720626,2000.0,8.0,0.1,1.5
4420,1,30.0,294.14802996599565,1000.0,8.0,0.1,1.5
4430,1,30.0,-294.07688607070634,2000.0,8.0,0.1,1.5
4440,1,30.0,294.1651450702137,1000.0,8.0,0.1,1.5
4450,1,30.0,-294.06765488005686,2000.0,8.0,0.1,1.5
4460,1,30.0,294.16566775252676,1000.0,8.0,0.1,1.5
4470,1,30.0,-294.0758873957347,2000.0,8.0,0.1,1.5
4480,1,30.0,294.14941542496507,1000.0,8.0,0.1,1.5
4490,1,30.0,-294.0987077631626,2000.0,8.0,0.1,1.5
4500,1,30.0,294.1220654931284,1000.0,8.0,0.1,1.5
4510,1,30.0,-294.128144171452,2000.0,8.0,0.1,1.5
4520,1,30.0,294.0931720750698,1000.0,8.0,0.1,1.5
4530,1,30.0,-294.1539136362965,2000.0,8.0,0.1,1.5
4540,1,30.0,294.0728284729859,1000.0,8.0,0.1,1.5
4550,1,30.0,-294.1670141422339,2000.0,8.0,0.1,1.5
4560,1,30.0,294.06814129237387,1000.0,8.0,0.1,1.5
4570,1,30.0,-294.1628693056362,2000.0,8.0,0.1,1.5
4580,1,30.0,294.08074790027234,1000.0,8.0,0.1,1.5
4590,1,30.0,-294.1429270371748,2000.0,8.0,0.1,1.5
4600,1,30.0,294.1062444458482,1000.0,8.0,0.1,1.5
4610,1,30.0,-294.11415374496585,2000.0,8.0,0.1,1.5
4620,1,30.0,294.1357242521913,1000.0,8.0,0.1,1.5
4630,1,30.0,-294.08660076779074,2000.0,8.0,0.1,1.5
4640,1,30.0,294.1588891748069,1000.0,8.0,0.1,1.5
4650,1,30.0,-294.06989315328093,2000.0,8.0,0.1,1.5
4660,1,30.0,294.1676470397663,1000.0,8.0,0.1,1.5
4670,1,30.0,-294.0698673518658,2000.0,8.0,0.1,1.5
